key,hold_time,flight_time,delay_time
 ,121,332.0,328.0
 ,121,332.0,199.0
 ,121,332.0,223.0
 ,121,332.0,273.0
 ,121,222.0,328.0
 ,121,222.0,199.0
 ,121,222.0,223.0
 ,121,222.0,273.0
 ,121,218.0,328.0
 ,121,218.0,199.0
 ,121,218.0,223.0
 ,121,218.0,273.0
 ,121,240.0,328.0
 ,121,240.0,199.0
 ,121,240.0,223.0
 ,121,240.0,273.0
 ,128,332.0,328.0
 ,128,332.0,199.0
 ,128,332.0,223.0
 ,128,332.0,273.0
 ,128,222.0,328.0
 ,128,222.0,199.0
 ,128,222.0,223.0
 ,128,222.0,273.0
 ,128,218.0,328.0
 ,128,218.0,199.0
 ,128,218.0,223.0
 ,128,218.0,273.0
 ,128,240.0,328.0
 ,128,240.0,199.0
 ,128,240.0,223.0
 ,128,240.0,273.0
 ,90,332.0,328.0
 ,90,332.0,199.0
 ,90,332.0,223.0
 ,90,332.0,273.0
 ,90,222.0,328.0
 ,90,222.0,199.0
 ,90,222.0,223.0
 ,90,222.0,273.0
 ,90,218.0,328.0
 ,90,218.0,199.0
 ,90,218.0,223.0
 ,90,218.0,273.0
 ,90,240.0,328.0
 ,90,240.0,199.0
 ,90,240.0,223.0
 ,90,240.0,273.0
 ,100,332.0,328.0
 ,100,332.0,199.0
 ,100,332.0,223.0
 ,100,332.0,273.0
 ,100,222.0,328.0
 ,100,222.0,199.0
 ,100,222.0,223.0
 ,100,222.0,273.0
 ,100,218.0,328.0
 ,100,218.0,199.0
 ,100,218.0,223.0
 ,100,218.0,273.0
 ,100,240.0,328.0
 ,100,240.0,199.0
 ,100,240.0,223.0
 ,100,240.0,273.0
a,319,385.0,253.0
a,319,385.0,350.0
a,319,385.0,317.0
a,319,401.0,253.0
a,319,401.0,350.0
a,319,401.0,317.0
a,319,321.0,253.0
a,319,321.0,350.0
a,319,321.0,317.0
a,29,385.0,253.0
a,29,385.0,350.0
a,29,385.0,317.0
a,29,401.0,253.0
a,29,401.0,350.0
a,29,401.0,317.0
a,29,321.0,253.0
a,29,321.0,350.0
a,29,321.0,317.0
a,139,385.0,253.0
a,139,385.0,350.0
a,139,385.0,317.0
a,139,401.0,253.0
a,139,401.0,350.0
a,139,401.0,317.0
a,139,321.0,253.0
a,139,321.0,350.0
a,139,321.0,317.0
d,95,285.0,284.0
d,95,285.0,345.0
d,95,349.0,284.0
d,95,349.0,345.0
d,133,285.0,284.0
d,133,285.0,345.0
d,133,349.0,284.0
d,133,349.0,345.0
e,187,282.0,208.0
e,187,282.0,206.0
e,187,282.0,68.0
e,187,216.0,208.0
e,187,216.0,206.0
e,187,216.0,68.0
e,187,73.0,208.0
e,187,73.0,206.0
e,187,73.0,68.0
e,156,282.0,208.0
e,156,282.0,206.0
e,156,282.0,68.0
e,156,216.0,208.0
e,156,216.0,206.0
e,156,216.0,68.0
e,156,73.0,208.0
e,156,73.0,206.0
e,156,73.0,68.0
e,135,282.0,208.0
e,135,282.0,206.0
e,135,282.0,68.0
e,135,216.0,208.0
e,135,216.0,206.0
e,135,216.0,68.0
e,135,73.0,208.0
e,135,73.0,206.0
e,135,73.0,68.0
g,110,591.0,609.0
h,113,,
i,133,736.0,724.0
l,115,2308.0,2332.0
n,117,179.0,218.0
n,117,179.0,112.0
n,117,100.0,218.0
n,117,100.0,112.0
n,129,179.0,218.0
n,129,179.0,112.0
n,129,100.0,218.0
n,129,100.0,112.0
o,101,281.0,290.0
o,101,281.0,131.0
o,101,281.0,442.0
o,101,164.0,290.0
o,101,164.0,131.0
o,101,164.0,442.0
o,101,402.0,290.0
o,101,402.0,131.0
o,101,402.0,442.0
o,134,281.0,290.0
o,134,281.0,131.0
o,134,281.0,442.0
o,134,164.0,290.0
o,134,164.0,131.0
o,134,164.0,442.0
o,134,402.0,290.0
o,134,402.0,131.0
o,134,402.0,442.0
o,94,281.0,290.0
o,94,281.0,131.0
o,94,281.0,442.0
o,94,164.0,290.0
o,94,164.0,131.0
o,94,164.0,442.0
o,94,402.0,290.0
o,94,402.0,131.0
o,94,402.0,442.0
r,62,1027.0,997.0
s,105,155.0,183.0
v,146,1400.0,1573.0
