key,time,event
s,15046,keydown
j,15063,keydown
a,15081,keydown
k,15316,keydown
d,15550,keydown
j,15689,keydown
s,15809,keydown
k,15840,keydown
 ,16055,keydown
d,16357,keydown
j,16446,keydown
k,16615,keydown
s,16620,keydown
a,16654,keydown
d,16937,keydown
i,17053,keydown
u,17171,keydown
w,17218,keydown
d,17352,keydown
w,17496,keydown
 ,17781,keydown
s,17979,keydown
a,18085,keydown
u,18123,keydown
d,18202,keydown
i,18221,keydown
w,18543,keydown
d,18905,keydown
i,19143,keydown
o,19153,keydown
d,19217,keydown
i,19361,keydown
e,19469,keydown
w,19513,keydown
j,20248,keydown
s,20336,keydown
a,20450,keydown
 ,20661,keydown
d,20887,keydown
s,20941,keydown
a,21066,keydown
i,21283,keydown
d,21333,keydown
w,21503,keydown
i,21531,keydown
u,21574,keydown
d,21872,keydown
i,21897,keydown
a,22045,keydown
s,22100,keydown
d,22264,keydown
j,22360,keydown
w,22603,keydown
e,22630,keydown
u,22845,keydown
s,23148,keydown
a,23186,keydown
 ,23663,keydown
d,23879,keydown
s,23935,keydown
a,24002,keydown
j,24038,keydown
d,24278,keydown
w,24512,keydown
i,24536,keydown
u,24718,keydown
e,24922,keydown
d,25224,keydown
s,25290,keydown
a,25349,keydown
