key,time
j,3011
d,3282
k,3804
s,4106
j,4378
e,4753
j,5354
s,5680
h,6338
d,6548
n,6835
f,7189
j,7527
s,7800
n,8088
r,8446
j,8822
s,9053
j,9380
d,9647
n,10586
r,11186
h,11652
d,12097
j,12960
