key,time
j,12886
s,12961
a,13015
k,13054
d,13210
j,13378
 ,13769
e,13986
w,13995
i,14238
s,14508
o,14565
a,14579
i,14694
d,14771
e,15160
w,15297
 ,15373
d,15754
i,15792
o,16003
s,16109
i,16321
o,16534
f,16633
e,16948
w,16996
 ,17070
s,17468
i,17486
o,17613
d,17749
i,17920
w,18052
o,18094
j,18666
k,18814
d,18819
s,18951
a,18969
j,19141
d,19385
 ,19494
w,19538
e,19773
i,19784
o,19890
i,20174
d,20210
a,20340
s,20354
o,20393
d,20548
i,20614
e,20800
w,20847
o,21036
i,21075
f,21149
w,21307
e,21311
